Namespace(batch_size=32, cont=False, dataset='modelnet40', dropout=0.5, epochs=250, eval=False, exp_name='spct_train', load_pretrain=False, lr=0.0001, model_path='', momentum=0.9, no_cuda=False, num_points=1024, pre_train=False, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test 90, loss: 2.719087, test acc: 0.870746, test avg acc: 0.806215
Train 91, loss: 0.581671, train acc: 0.813721, train avg acc: 0.725859
Test 91, loss: 2.786815, test acc: 0.880065, test avg acc: 0.799709
Train 92, loss: 0.574209, train acc: 0.820033, train avg acc: 0.733553
Test 92, loss: 2.819563, test acc: 0.861021, test avg acc: 0.788134
Train 93, loss: 0.562712, train acc: 0.821152, train avg acc: 0.732529
Test 93, loss: 2.795851, test acc: 0.852917, test avg acc: 0.782023
Train 94, loss: 0.579455, train acc: 0.816368, train avg acc: 0.728684
Test 94, loss: 2.843674, test acc: 0.842788, test avg acc: 0.799785
Train 95, loss: 0.564501, train acc: 0.821865, train avg acc: 0.735113
Test 95, loss: 2.769828, test acc: 0.867099, test avg acc: 0.808808
Train 96, loss: 0.566762, train acc: 0.819320, train avg acc: 0.736380
Test 96, loss: 2.835730, test acc: 0.855348, test avg acc: 0.779424
Train 97, loss: 0.561542, train acc: 0.825428, train avg acc: 0.738715
Test 97, loss: 2.824057, test acc: 0.874797, test avg acc: 0.807169
Train 98, loss: 0.543921, train acc: 0.826751, train avg acc: 0.741872
Test 98, loss: 2.837175, test acc: 0.839951, test avg acc: 0.784756
Train 99, loss: 0.545655, train acc: 0.827158, train avg acc: 0.746630
Test 99, loss: 2.763812, test acc: 0.873582, test avg acc: 0.814070
Train 100, loss: 0.554361, train acc: 0.825326, train avg acc: 0.743217
Test 100, loss: 2.744772, test acc: 0.867099, test avg acc: 0.823006
Train 101, loss: 0.543638, train acc: 0.826038, train avg acc: 0.744874
Test 101, loss: 2.755288, test acc: 0.874797, test avg acc: 0.798256
Train 102, loss: 0.545701, train acc: 0.823493, train avg acc: 0.738533
Test 102, loss: 2.725544, test acc: 0.873582, test avg acc: 0.818349
Train 103, loss: 0.546096, train acc: 0.827565, train avg acc: 0.744304
Test 103, loss: 2.786494, test acc: 0.847650, test avg acc: 0.807634
Train 104, loss: 0.534580, train acc: 0.829601, train avg acc: 0.749166
Test 104, loss: 2.821448, test acc: 0.868720, test avg acc: 0.801256
Train 105, loss: 0.543806, train acc: 0.825428, train avg acc: 0.741652
Test 105, loss: 2.771627, test acc: 0.873987, test avg acc: 0.812977
Train 106, loss: 0.549483, train acc: 0.830822, train avg acc: 0.753175
Test 106, loss: 2.812567, test acc: 0.864263, test avg acc: 0.802837
Train 107, loss: 0.534962, train acc: 0.833062, train avg acc: 0.751467
Test 107, loss: 2.817035, test acc: 0.882496, test avg acc: 0.819767
Train 108, loss: 0.526765, train acc: 0.835912, train avg acc: 0.754758
Test 108, loss: 2.785404, test acc: 0.870340, test avg acc: 0.800878
Train 109, loss: 0.528203, train acc: 0.832349, train avg acc: 0.752567
Test 109, loss: 2.855692, test acc: 0.872771, test avg acc: 0.802436
Train 110, loss: 0.524128, train acc: 0.832553, train avg acc: 0.750285
Test 110, loss: 2.848864, test acc: 0.871556, test avg acc: 0.819273
Train 111, loss: 0.514383, train acc: 0.838355, train avg acc: 0.763072
Test 111, loss: 2.714373, test acc: 0.853728, test avg acc: 0.795064
